2
9
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0 0 0 1 1 1 1 3.200 0.0
0 0 0 2 2 2 2 3.200 0.0
0 0 0 1 2 1 2 2.400 0.0
0 0 0 2 1 2 1 2.400 0.0
0 0 0 1 1 2 2 0.400 0.0
0 0 0 2 2 1 1 0.400 0.0
0 0 0 1 2 2 1 0.400 0.0
0 0 0 2 1 1 2 0.400 0.0
1 0 0 1 1 1 1 0.400 0.0
1 0 0 1 2 1 2 0.400 0.0
1 0 0 2 1 2 1 0.400 0.0
1 0 0 2 2 2 2 0.400 0.0
-1 0 0 1 1 1 1 0.400 0.0
-1 0 0 1 2 1 2 0.400 0.0
-1 0 0 2 1 2 1 0.400 0.0
-1 0 0 2 2 2 2 0.400 0.0
0 1 0 1 1 1 1 0.400 0.0
0 1 0 1 2 1 2 0.400 0.0
0 1 0 2 1 2 1 0.400 0.0
0 1 0 2 2 2 2 0.400 0.0
0 -1 0 1 1 1 1 0.400 0.0
0 -1 0 1 2 1 2 0.400 0.0
0 -1 0 2 1 2 1 0.400 0.0
0 -1 0 2 2 2 2 0.400 0.0
1 1 0 1 1 1 1 0.283 0.0
1 1 0 1 2 1 2 0.283 0.0
1 1 0 2 1 2 1 0.283 0.0
1 1 0 2 2 2 2 0.283 0.0
1 -1 0 1 1 1 1 0.283 0.0
1 -1 0 1 2 1 2 0.283 0.0
1 -1 0 2 1 2 1 0.283 0.0
1 -1 0 2 2 2 2 0.283 0.0
-1 1 0 1 1 1 1 0.283 0.0
-1 1 0 1 2 1 2 0.283 0.0
-1 1 0 2 1 2 1 0.283 0.0
-1 1 0 2 2 2 2 0.283 0.0
-1 -1 0 1 1 1 1 0.283 0.0
-1 -1 0 1 2 1 2 0.283 0.0
-1 -1 0 2 1 2 1 0.283 0.0
-1 -1 0 2 2 2 2 0.283 0.0
